county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Inyo,2020/21,SMHS,802.0,8.82
Inyo,2021/22,NSMHS,1015.0,-13.01
Inyo,2021/22,SMHS,670.0,-13.01
Inyo,2022/23,NSMHS,1240.0,7.48
Inyo,2022/23,SMHS,571.0,7.48
Kern,2019/20,NSMHS,71785.0,
Kern,2019/20,SMHS,30433.0,
Kern,2020/21,NSMHS,75407.0,7.36
Kern,2020/21,SMHS,34338.0,7.36
Kern,2021/22,NSMHS,86120.0,8.82
Kern,2021/22,SMHS,33305.0,8.82
Kern,2022/23,NSMHS,98061.0,11.98
Kern,2022/23,SMHS,35676.0,11.98
Kings,2019/20,NSMHS,11471.0,
Kings,2019/20,SMHS,4682.0,
Kings,2020/21,NSMHS,10965.0,-3.57
Kings,2020/21,SMHS,4611.0,-3.57
Kings,2021/22,NSMHS,10832.0,-1.75
Kings,2021/22,SMHS,4471.0,-1.75
Kings,2022/23,NSMHS,11100.0,3.84
Kings,2022/23,SMHS,4790.0,3.84
Lake,2019/20,NSMHS,9958.0,
Lake,2019/20,SMHS,2317.0,
Lake,2020/21,NSMHS,10492.0,4.14
Lake,2020/21,SMHS,2291.0,4.14
Lake,2021/22,NSMHS,11041.0,6.27
Lake,2021/22,SMHS,2544.0,6.27
Lake,2022/23,NSMHS,11626.0,4.63
Lake,2022/23,SMHS,2588.0,4.63
Lassen,2019/20,NSMHS,1774.0,
Lassen,2019/20,SMHS,1708.0,
Lassen,2020/21,NSMHS,2024.0,8.93
Lassen,2020/21,SMHS,1769.0,8.93
Lassen,2021/22,NSMHS,1940.0,-9.57
Lassen,2021/22,SMHS,1490.0,-9.57
Lassen,2022/23,NSMHS,2222.0,6.94
Lassen,2022/23,SMHS,1446.0,6.94
Los Angeles,2019/20,NSMHS,504912.0,
Los Angeles,2019/20,SMHS,364862.0,
Los Angeles,2020/21,NSMHS,517538.0,2.08
Los Angeles,2020/21,SMHS,370363.0,2.08
Los Angeles,2021/22,NSMHS,566763.0,5.0
Los Angeles,2021/22,SMHS,365490.0,5.0
Los Angeles,2022/23,NSMHS,680367.0,12.48
Los Angeles,2022/23,SMHS,368243.0,12.48
Madera,2019/20,NSMHS,11366.0,
Madera,2019/20,SMHS,4617.0,
Madera,2020/21,NSMHS,23344.0,74.1
Madera,2020/21,SMHS,4483.0,74.1
Madera,2021/22,NSMHS,16576.0,-23.14
Madera,2021/22,SMHS,4813.0,-23.14
Madera,2022/23,NSMHS,19482.0,13.82
Madera,2022/23,SMHS,4864.0,13.82
Marin,2019/20,NSMHS,12846.0,
Marin,2019/20,SMHS,5441.0,
Marin,2020/21,NSMHS,14444.0,8.3
Marin,2020/21,SMHS,5360.0,8.3
Marin,2021/22,NSMHS,17270.0,13.86
Marin,2021/22,SMHS,5278.0,13.86
Marin,2022/23,NSMHS,16429.0,-3.9
Marin,2022/23,SMHS,5240.0,-3.9
Mariposa,2019/20,NSMHS,1305.0,
Mariposa,2019/20,SMHS,1140.0,
Mariposa,2020/21,NSMHS,1385.0,-1.31
Mariposa,2020/21,SMHS,1028.0,-1.31
Mariposa,2021/22,NSMHS,1409.0,-0.04
Mariposa,2021/22,SMHS,1003.0,-0.04
